ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRFQ952Y8TVBEFPBP6BJRQ29,,12,29.99,,usdc,1709924717662,1709924717662
01HR0JZ54E9HY876G2199E9T6R,,1,25,,usdc,1709416879246,1709416879246
01HR0JZ0KBPCA4GGHGG25H1546,,1,25,,usdc,1709416874603,1709416874603
01HQXW62MFNWA4S0YTH4PGN736,,1,29.99,,usdc,1709325879951,1709325879951
01HQAWF1VBQ9ERMFXDBY7NJCKT,,25,29.99,,usdc,1708688639851,1708688639851
01HQ4MP9CKVE7WSPZ9WP02R3MB,,1,29,,usdc,1708479161747,1708479161747
01HQ4K78Y055R9GG6FJNZ3KQXT,,3,25,,usdc,1708477621184,1708477621184
01HPFMRARC8G911CXVDEPC2VKS,,2,20,,usdc,1707774585612,1707774585612
01HPFG7H4S3DXJX1J3M1JPJFSW,,1,20,,usdc,1707769840792,1707769840792
01HPEQJ59J26SYD8RRYSGE426Y,,9,30,,usdc,1707743974706,1707743974706
