Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,26.5,01FN0KMRMBY5FYT24A8935ZZXM,01HTFWH0SD7SNSVD5VAFANAMW2,1714669700430,1712077729650
Buy,10,26,01FN0KMRMBY5FYT24A8935ZZXM,01HSVWSGFYK1MQRVHXETXA3TVZ,1713998890469,1711406917413
Buy,40,24.51,01FN0KMRMBY5FYT24A8935ZZXM,01HT04SYQRMYDXAM2DP5EQGG35,1714141511569,1711549540242
Sell,50,32.5,01FN0KMRMBY5FYT24A8935ZZXM,01HSPMF25ZKJ7QZCSH6KTJE4T5,1713822364002,1711230416449
Sell,31,51.91,01FN0KMRMBY5FYT24A8935ZZXM,01HR7P9RQJTJMC8FJMY6HV4A83,1712243637087,1709655280365
