Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,15,01G8TXERV09QRTK4X39RXH330T,01HS90KTNYHZ8QGA443CQZCTN5,1713365365052,1710773392357
Sell,20,29,01G8TXERV09QRTK4X39RXH330T,01HT8JM70QCW25E5QNDEG7N6TV,1714424416654,1711832468136
Sell,1,30.99,01G8TXERV09QRTK4X39RXH330T,01HRMXQC1YT3XQ09ZJA0C6P4TM,1712691222376,1710099273372
Sell,28,31,01G8TXERV09QRTK4X39RXH330T,01HRA5FZ65QXPEFWR7WFVDAD8V,1712330283600,1709738322080
Sell,40,46.95,01G8TXERV09QRTK4X39RXH330T,01HS1CHDZ757RA7C2K8VGG3Z2V,1713109425680,1710517460559
Sell,40,46.96,01G8TXERV09QRTK4X39RXH330T,01HRG3J3PK9F27SFQSMVE8E17M,1712525977624,1709937620275
Sell,2,47.96,01G8TXERV09QRTK4X39RXH330T,01HRZAFVQS1YF5D81D5MK0FJ05,1713040146285,1710448203820
