Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,3,25,01G22NDE3ABNHKPX7GDG0D78QW,01HRGKRWFGERNTT3Y34CKP08TE,1712542991692,1709954620941
Buy,25,1,01G22NDE3ABNHKPX7GDG0D78QW,01HQ7JQCSP8R0X1J8YTP66YEBZ,1711166150423,1708577792013
Sell,1,31.99,01G22NDE3ABNHKPX7GDG0D78QW,01HRMXYPA7QWBK920VBXF8A8WV,1712691483763,1710099514786
Sell,26,32,01G22NDE3ABNHKPX7GDG0D78QW,01HQVEK91NS4P7N08YSP8CSV8E,1711836509939,1709244550185
Sell,1,37.99,01G22NDE3ABNHKPX7GDG0D78QW,01HQGW2SSK7X3DFQ80ZN6WACAQ,1711477959425,1708889595174
Sell,40,38,01G22NDE3ABNHKPX7GDG0D78QW,01HPVSJTBZHR8MK580YDED0QYG,1710770685677,1708182328694
Sell,5,40,01G22NDE3ABNHKPX7GDG0D78QW,01HPQTDM6HK99T10GCKKEWR6ZJ,1710637272425,1708048988197
