ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HSZ1K98TYR0RQY0B9APNGETK,,2,33,,usdc,1711512593689,1711512593689
01HSZ1K9285EFYJHKVX5ARH1JA,,2,33,,usdc,1711512593480,1711512593480
01HSZ1K921KQ98F12FYCVBCAGZ,,5,33,,usdc,1711512593473,1711512593473
01HSZ1K3R78C4MMVC41VCDHNS2,,2,33,,usdc,1711512588039,1711512588039
01HSPJB60SZ3DJP24VF75KNS8R,,1,38.99,,usdc,1711228164121,1711228164121
01HSPJB24DY61SDHAMND3XGJZB,,1,39,,usdc,1711228160141,1711228160141
01HS8405TS34XESBG289D5X73A,,3,35,,usdc,1710743361369,1710743361369
01HS4DRZGJ3HMF1HT19ANCDAY0,,1,35,,usdc,1710619393554,1710619393554
01HRD7KD0MPA8HV1AXB71JNTAD,,1,30,,usdc,1709841167380,1709841167380
