Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,12,20.01,01FPEFH3DEHBPA7QV2KTDK38RH,01HR2YRZ4QNCGNGRCA7P6PKV6R,1712084767689,1709496396300
Buy,4,20,01FPEFH3DEHBPA7QV2KTDK38RH,01HPW6E247PQVD5EMJM13PAKRE,1710787770684,1708195779656
Sell,25,30,01FPEFH3DEHBPA7QV2KTDK38RH,01HRN85FNTPA0JY26HFRTXQXTA,1712702184620,1710110221649
Sell,1,30.99,01FPEFH3DEHBPA7QV2KTDK38RH,01HRMW3ZSRX5SP9RA3XB7KNR0S,1712689559930,1710097594731
Sell,25,31,01FPEFH3DEHBPA7QV2KTDK38RH,01HRG5709G6JPNP1B1ASPJ534F,1712531315111,1709939355422
Sell,40,42,01FPEFH3DEHBPA7QV2KTDK38RH,01HRG060VYRDHM3P0S708JCWMH,1712529640848,1709934078655
Sell,2,42.73,01FPEFH3DEHBPA7QV2KTDK38RH,01HRBHF0X468Q1WMGTC6GFSBZZ,1712372790921,1709784428757
Sell,48,45,01FPEFH3DEHBPA7QV2KTDK38RH,01HPG98KP3Z55QN0G1KHRN5G42,1710384475103,1707796117318
Sell,5,45.73,01FPEFH3DEHBPA7QV2KTDK38RH,01HPZEJPTYBKM6NN9GV37PV7HF,1710896965448,1708305007983
Sell,2,46.81,01FPEFH3DEHBPA7QV2KTDK38RH,01HPMY4C5HH88D0HF7MJCJAWM9,1710540563914,1707952216225
Sell,170,51.5,01FPEFH3DEHBPA7QV2KTDK38RH,01HPGJ4D1C8SSXWA7VXRJQWS61,1710393782637,1707805418289
