Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,5,22.01,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRMH2EWP4AXS2WW62RE481QH,1712677978651,1710086004861
Buy,1,22,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRK782DZSE192AENGSXF3EN5,1712630521487,1710042123537
Sell,1,43.98,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRMVD83YF61RHEVCXZRR874X,1712688813392,1710096846386
Sell,10,43.99,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRMH3EZXFR5JJ2807DN9EMK2,1712678009520,1710086039082
Sell,1,44,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRNTBKNH09FSMZAV0BSGDHQF,1712721251016,1710129296539
Sell,1,44.99,01FNWTCSMS7ZN9C14FRVZ64RSX,01HQXF00G32E1RAFDMP60DWQZV,1711900291051,1709312075837
Sell,21,45,01FNWTCSMS7ZN9C14FRVZ64RSX,01HPWFJJAGAPGMPVVRMF1YE0QR,1710793745359,1708205389010
Sell,2,48,01FNWTCSMS7ZN9C14FRVZ64RSX,01HPE203BDR9JS60BT1T297W87,1710313328226,1707721391235
Sell,6,51,01FNWTCSMS7ZN9C14FRVZ64RSX,01HRCPNSXNSHYPPK174E9HR2A1,1712411812275,1709823447955
Sell,67,53.33,01FNWTCSMS7ZN9C14FRVZ64RSX,01HQMBXEP5V32MH8XF9CJ4BRHE,1711595220935,1709006857697
