Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,20,01FM632J5ZX33231WGAPBAQW67,01HT057WX29G9J8BH6E33EGGAC,1714141968596,1711549997610
Sell,16,45,01FM632J5ZX33231WGAPBAQW67,01HSXS13T9C34EV0MEV3S3ZA4A,1714062036500,1711470080821
Sell,50,48.32,01FM632J5ZX33231WGAPBAQW67,01HRQ8WYV410P5A7PFQFDW36RW,1712770065521,1710178099310
Sell,2,48.33,01FM632J5ZX33231WGAPBAQW67,01HS4MJXB6H9PS2M00CP064A2W,1713218291147,1710626559216
Sell,4,48.4,01FM632J5ZX33231WGAPBAQW67,01HTFYDD3ASJTW2N3ANFSGZ3QH,1714671672326,1712079706434
Sell,2,48.44,01FM632J5ZX33231WGAPBAQW67,01HT949YWJ49HSNE4WBFQ09X06,1714442972468,1711851005021
Sell,1,50,01FM632J5ZX33231WGAPBAQW67,01HS8GE8G6J0BZ6TVH7FAFQD6M,1713348386874,1710756433632
