Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,25,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HPYKQRQB2NB0TT9D45FTKDD8,1710865234269,1708276861710
Sell,1,48.99,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HRMSM12J32905RD5C2YNN3ZX,1712686938996,1710094970987
Sell,10,49,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HR6QHNQK8QEZ388C29EFC931,1712211401407,1709623033491
Sell,48,52,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HRMZNJYC47A7KMBT6ZN1J6DP,1712693260444,1710101312253
Sell,7,53.46,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HQRWZDXFNGTEKWKFZS1476CP,1711747327107,1709158965702
Sell,44,54,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HPG8KTKTBX51VAVQXSSQCHHM,1710383793699,1707795436828
