Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,100,1,01G57Y13TBE091VH5C96Q5PMRV,01HPYKN2HCBBCJ0XFJ8Y1MMM5J,1710865146316,1708276773058
Sell,16,31,01G57Y13TBE091VH5C96Q5PMRV,01HRN9RP0MDSJS2N24NBQ9VDPS,1712703865335,1710111899803
Sell,1,41.99,01G57Y13TBE091VH5C96Q5PMRV,01HRMX8144TDJSFYYHKD63WPBS,1712690740956,1710098770242
Sell,1,42,01G57Y13TBE091VH5C96Q5PMRV,01HPDW90T2X701G8Q8KNM2CNTJ,1710303744744,1707715389114
Sell,26,45,01G57Y13TBE091VH5C96Q5PMRV,01HRFYYA6HGE9E6426SVGRK1RN,1712521128515,1709932777974
Sell,51,48.81,01G57Y13TBE091VH5C96Q5PMRV,01HQ0S8YP79BKDS936R9CQJE7H,1710938132099,1708349777628
