ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRNV00JYMSDBPVT5REEVKPGQ,,1,30,,usdc,1710129939038,1710129939038
01HR68YNQZPBE896R837SCCQW7,,1,35,,usdc,1709607704318,1709607704318
01HR0H0EJCJQBW45BK3VBS0Y7V,,5,22,,usdc,1709414824524,1709414824524
01HQQXK82ZJACA4T42TCWQSP5P,,20,28,,usdc,1709126033503,1709126033503
01HQG32MPP7DXTFJDQ4TWZKNEJ,,16,25,,usdc,1708863345365,1708863345365
01HQDQ1ZWB73P38TP20R9MH40G,,4,25,,usdc,1708783632267,1708783632267
01HPEPS1FZV3YE3RF38XKXN0NY,,1,28,,usdc,1707743151614,1707743151614
