Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,10,01GJKGAA5G228DY298ZJ0XFY88,01HRQ2NXK5XAA6QNP90S4M8YYY,1712763550731,1710171579178
Sell,59,29,01GJKGAA5G228DY298ZJ0XFY88,01HTFPYW8EE3MDJFBMHRK03GHH,1714663844505,1712071891477
Sell,1,36,01GJKGAA5G228DY298ZJ0XFY88,01HTA5EZ91JXEC1NE7G1ZZ68C7,1714477728733,1711885772158
Sell,3,38,01GJKGAA5G228DY298ZJ0XFY88,01HSM2CWFG9R4J3HB4P89AQ8N5,1713736260778,1711144359221
Sell,1,41.02,01GJKGAA5G228DY298ZJ0XFY88,01HRMXWQN12AY9YBXHMF4PZZSY,1712691418148,1710099448810
Sell,20,45,01GJKGAA5G228DY298ZJ0XFY88,01HRD9P4PH1VF53M8RDWBEKCNT,1712431745777,1709843379870
Sell,25,47.9,01GJKGAA5G228DY298ZJ0XFY88,01HRCQG502W5C4SG343AMKTSC0,1712416272849,1709824311644
Sell,1,49.21,01GJKGAA5G228DY298ZJ0XFY88,01HSC7T8VKDQQ858MY4YAAVGZJ,1713473561191,1710881607177
Sell,3,56.03,01GJKGAA5G228DY298ZJ0XFY88,01HR4VPMEG66TA0KZMP50FEH41,1712148646286,1709560281400
