Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Sell,1,34,01FN7VZB6DXAB3CBENQV1CHFQD,01HRN7Y523PXR0TDVAXDQCEFQX,1712701950044,1710109981156
Sell,1,39.99,01FN7VZB6DXAB3CBENQV1CHFQD,01HRMV9FV50S39AHYHRV2JPY17,1712688691573,1710096721780
Sell,25,40,01FN7VZB6DXAB3CBENQV1CHFQD,01HQVE51TFTMXP7SPA0JTGMSXE,1711836039428,1709244082752
Sell,50,43.97,01FN7VZB6DXAB3CBENQV1CHFQD,01HQEFHBQ730FHSY8WMXNH09J0,1711397688637,1708809328053
Sell,2,43.98,01FN7VZB6DXAB3CBENQV1CHFQD,01HQE4DYVG627BJEE33C3QYJ39,1711389625755,1708797684489
Sell,3,44,01FN7VZB6DXAB3CBENQV1CHFQD,01HRF7YQZSXYC21TJTVP2X82EC,1712497025614,1709908675618
Sell,2,52.55,01FN7VZB6DXAB3CBENQV1CHFQD,01HPT3Q4TMQV2TYKW1BZBZJE9N,1710714197421,1708125846598
