Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,28,15,01FX8C60TMYHCSM9476701HQMY,01HPFNEWAYNKP380PQV5E2A4NA,1710363724140,1707775352240
Sell,2,33,01FX8C60TMYHCSM9476701HQMY,01HRN96B1NY6T7VH4FZNKP92B6,1712703266948,1710111299040
Sell,1,41.55,01FX8C60TMYHCSM9476701HQMY,01HRMW1BRQBZXKQMAVR7BP2713,1712689472703,1710097508771
Sell,60,41.56,01FX8C60TMYHCSM9476701HQMY,01HRATACN2XM8B0SJY63H1B7T1,1712348527934,1709760158444
Sell,4,41.57,01FX8C60TMYHCSM9476701HQMY,01HQSRAY77751ZGATVFQ44DKRK,1711776014779,1709187655885
Sell,1,42.05,01FX8C60TMYHCSM9476701HQMY,01HQGV86FS7SFBJZT57HAEAK5A,1711477089281,1708888719847
Sell,73,42.06,01FX8C60TMYHCSM9476701HQMY,01HPSJGTGYGM1SZXNP3QCSQYSZ,1710696173064,1708107812944
Sell,1,42.23,01FX8C60TMYHCSM9476701HQMY,01HPG47WKVPRM6QZRS0XJEV3XB,1710379204800,1707790855106
Sell,2,47,01FX8C60TMYHCSM9476701HQMY,01HRBH8P0D4S65C93MRAB5EZB6,1712372581992,1709784219805
Sell,33,51.3,01FX8C60TMYHCSM9476701HQMY,01HR0EDSMFEH4S7ZCN7NFQDTX4,1712000509142,1709412143390
