ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTDFKJQTXM60PFYH9YN8EJ9A,sell,10,38.527,385279380,USDC,1711997035000,1711997045498
01HTB5QYDWR8KH9X7FCDDANG6C,sell,10,41.382999999999996,413838454,USDC,1711919581000,1711919593916
01HTASNZ7PXFZK4F36N0YMZTNX,sell,4,43.735,174943777,USDC,1711906936000,1711906946294
01HTA7X7427CWBT9D737TRMKY1,sell,5,36.592,182964890,USDC,1711888299000,1711888309378
01HT8HVZDHTWFNM5TW732VKFKM,buy,2,39.68,79365593,USDC,1711831631000,1711831645617
01HT6XCHS3RZM29WZF6NQK40DT,sell,5,38.152,190769535,USDC,1711776604000,1711776614179
01HT660FXXC67KBEADCPMCZZBQ,sell,30,46.84666666666667,1405406692,USDC,1711752092000,1711752101821
01HRRCZBQQ13N3PZVS70WNJNE2,,2,41,,usdc,1710215900919,1710215900919
01HRRCZ67D6AYTQ3KA4TN6W318,,11,40.99,,usdc,1710215895277,1710215895277
01HRRCZ674GASVB44KMKF3D65D,,1,39.98,,usdc,1710215895268,1710215895268
