ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT2Q7GGNJ1ZJ1HE1Z9QG72WT,,6,10.01,,usdc,1711635939861,1711635939861
01HSHNKZSDAM1QCQDA8NT1SWN1,,2,22,,usdc,1711063826220,1711063826220
01HSC7165XB604WC8JVE9RRPFA,,16,24,,usdc,1710880757941,1710880757941
01HSC6HNG9VX9H4ME93TT07GAY,,1,24,,usdc,1710880249353,1710880249353
01HS6X093B817R7B65N78HWC3F,,10,24,,usdc,1710702470251,1710702470251
01HRYJSZ95JXGANAQ0S23R1895,,1,22,,usdc,1710423342372,1710423342372
01HRQ3B1Y0NXK2NKY47SBP6KTZ,,28,11,,usdc,1710172243904,1710172243904
01HRPX3FDY1ZK4NVJ3X93VW7CJ,,8,15,,usdc,1710165704126,1710165704126
01HRNV00JYMSDBPVT5REEVKPGQ,,1,30,,usdc,1710129939038,1710129939038
01HR68YNQZPBE896R837SCCQW7,,1,35,,usdc,1709607704318,1709607704318
