ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HR81RBCRX93EFH1JXF1A0TE6,,7,30,,usdc,1709667265944,1709667265944
01HR81RBA26SKH7K1SJN35PVXE,,5,30,,usdc,1709667265857,1709667265857
01HR2E1T8J35T8AHEB492Z8ZTA,,1,38,,usdc,1709478832401,1709478832401
01HQZY0543AWJTW7X4MN1JSGBA,,2,38,,usdc,1709394891907,1709394891907
01HQTZ0TY6CCZ08603J1WYTCZ9,,19,35,,usdc,1709228190662,1709228190662
01HQTPP51SZB96KG9YXHRAXE3S,,10,35,,usdc,1709219451961,1709219451961
01HQCCRQWJR7P023R7CEFMN3E3,,4,30,,usdc,1708739288977,1708739288977
01HQCCHTSCSXCM53DYA41D4225,,5,30,,usdc,1708739062571,1708739062571
01HQC2RF2DZ83ASP3BV6P1X2JW,,1,30,,usdc,1708728794189,1708728794189
01HQ8XRGSYHVCT96JESHY1ADRG,,1,30,,usdc,1708622889790,1708622889790
