ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRNFCFQKD6WX3JN8Z84C54B0,buy,1,29.59,29596606,USDC,1710117755000,1710117764852
01HRMQ1DPDZJYP0Q4CCT340YP8,buy,1,29.32,29321965,USDC,1710092222000,1710092236493
01HRMMM3HKMMMMCEP2VJMC3J29,buy,1,29.04,29046930,USDC,1710089688000,1710089702963
01HRK05XG6131K5NC5TRS552PP,sell,6,28.166666666666668,169006708,USDC,1710034698000,1710034712070
01HRJPY8B2F0EXRMYT8A9YYSEZ,sell,17,31.10058823529412,528711620,USDC,1710025010000,1710025023843
01HRJ5K44T8BS57JSQ60986MYA,sell,4,33.5575,134235209,USDC,1710006819000,1710006833306
01HRHNX9N979S6TCCCTNMA77HG,sell,10,35.143,351431750,USDC,1709990379000,1709990389417
01HRHNW0RSZ0BCYD6MV74SR5M7,sell,10,37.265,372650670,USDC,1709990336000,1709990347546
01HRHNTPYQVTP7JPYMMR2BV4XT,sell,10,39.165,391650841,USDC,1709990290000,1709990304727
01HRGY0B3NAZAVCSREMTC74FVE,sell,11,40.917272727272724,450098650,USDC,1709965309000,1709965323381
