Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,20,01FK4QMB4DJP66KNJDBFAKBZSP,01HSVYA5K6YJHF6SN86043QDQ6,1714000485633,1711408512955
Sell,1,30,01FK4QMB4DJP66KNJDBFAKBZSP,01HTGQJJS2Q4EYNKV8KYW8BXBP,1714698055687,1712106091822
Sell,1,36,01FK4QMB4DJP66KNJDBFAKBZSP,01HTBEWZ4TXRP0QWE3RXJ7H8WM,1714521163291,1711929223460
Sell,2,42,01FK4QMB4DJP66KNJDBFAKBZSP,01HRDFBHYPRWZ8QDDV62RRHTAY,1712437686161,1709849325713
Sell,38,42.28,01FK4QMB4DJP66KNJDBFAKBZSP,01HS82PTRVZVN7RST85A71QWZA,1713334003733,1710742033861
Sell,133,42.29,01FK4QMB4DJP66KNJDBFAKBZSP,01HS77S1W0KFV4CX1CYTDC6A72,1713305757809,1710713793793
Sell,23,50,01FK4QMB4DJP66KNJDBFAKBZSP,01HTEC2Z70A6J9VY6M54HTTA8M,1714618895300,1712026936886
Sell,3,52.82,01FK4QMB4DJP66KNJDBFAKBZSP,01HS0VW40X4B0TVQKCD8J1EB7W,1713091915754,1710499985713
