Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,25,01GRCJJAB4T67JPX1MAZVQ2R86,01HQ7JNJVV1TM0CSFCJMTSRHPT,1711166093160,1708577731002
Sell,1,44.99,01GRCJJAB4T67JPX1MAZVQ2R86,01HRMY2W5NHNDWW3DS26MESXWF,1712691620368,1710099650219
Sell,4,45,01GRCJJAB4T67JPX1MAZVQ2R86,01HRD9SAN4NKQZQZGYNZMNZX3Y,1712431848441,1709843486953
Sell,9,47,01GRCJJAB4T67JPX1MAZVQ2R86,01HQD6SPTAFB8N4W1VQG5993K4,1711358611366,1708766611480
Sell,1,49.42,01GRCJJAB4T67JPX1MAZVQ2R86,01HQNWBAVNXWWJ7360CWRYSB9W,1711646007641,1709057642638
