Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,15,01FYQFF6HYNVJ45Z050R2H2JC5,01HSNNWRE5RBHZSWCVVHBBG71E,1713790330805,1711198358259
Sell,3,44.99,01FYQFF6HYNVJ45Z050R2H2JC5,01HS90BZMDBQFJFWN2VX8E06M1,1713365104066,1710773135092
Sell,3,45,01FYQFF6HYNVJ45Z050R2H2JC5,01HRQ9T6X2B3WWNBV517DKJVSZ,1712771010526,1710179060046
Sell,1,46.57,01FYQFF6HYNVJ45Z050R2H2JC5,01HRMVNXQT7ZG962GZPXE0Y86J,1712689099436,1710097128218
Sell,2,46.58,01FYQFF6HYNVJ45Z050R2H2JC5,01HT94XJJBBBNPFYS75D1VTEB6,1714443615348,1711851648847
