ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRFPSZZZ1N4FGQ9QK14HAAZP,,5,33,,usdc,1709924220926,1709924220926
01HRFPP5HHYEHJEHFK27V86JFM,,54,30,,usdc,1709924095536,1709924095536
01HRFPC3WF57YH8MD7MR9DV646,,24,30,,usdc,1709923766159,1709923766159
01HRF3FMBMP98H5VWWCGM8VCD6,,60,30,,usdc,1709903958387,1709903958387
01HRDQ5TB46BCDS3RG1H4CZS89,,10,28,,usdc,1709857499492,1709857499492
01HQY0ZRDSVZRV98GDTNMBFEYN,,10,30,,usdc,1709330915769,1709330915769
01HQXWFTKJ25TX04V9EV6MQACG,,2,29,,usdc,1709326199409,1709326199409
01HQS6HHDQ0JPSMH9NDFDK8VAD,,1,30,,usdc,1709168969142,1709168969142
01HQPC0V6FMJHF3C0Y95FVTAYE,,1,30,,usdc,1709074050255,1709074050255
01HQNXBEFCHPXQRESRRB9QJEB3,,1,25,,usdc,1709058669035,1709058669035
