Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,15,01FHXGY78BHFZM2PK79F4JBZCS,01HR53240ZETQJ2PTMSBS70D1J,1712156369110,1709567997631
Sell,1,47.49,01FHXGY78BHFZM2PK79F4JBZCS,01HRMTBXAGPNFFA9FCA47WZ1S0,1712687722218,1710095751924
Sell,31,47.5,01FHXGY78BHFZM2PK79F4JBZCS,01HR91SNHW4BX2058KMG2SHZ9Z,1712292834348,1709700889874
Sell,47,47.86,01FHXGY78BHFZM2PK79F4JBZCS,01HPT9BSMXZ3A8H7N559VW0RYM,1710720133846,1708131766874
Sell,15,50,01FHXGY78BHFZM2PK79F4JBZCS,01HRCM39T1RRR7SXG467QV417N,1712409096400,1709820743482
Sell,7,51.23,01FHXGY78BHFZM2PK79F4JBZCS,01HQ6VZ40ZZX62F6XW89WZ3396,1711142293774,1708553927108
