ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTHTP9SKG019N22PPKV0V5YK,,1,50,,usdc,1712142886707,1712142886707
01HTG960ZBJY687N1EX5BKJPRR,,1,50,,usdc,1712090973163,1712090973163
01HTFT101NAJVCDVREY3ZV3HQD,,1,50,,usdc,1712075079733,1712075079733
01HTFEZZ7S5ZT20GWCAMBBPPWE,,2,50,,usdc,1712063511801,1712063511801
01HTEXEDSNYQYWVM4PJG36P2C4,,1,50,,usdc,1712045111093,1712045111093
01HTDV0J7QRJVWBT9G6NRB6M84,,1,50,,usdc,1712009005302,1712009005302
01HTDR690GWZVH4YQ0RW37836J,,2,49,,usdc,1712006046736,1712006046736
01HTAZBB1JAV5J06J3WD5HSZ11,,3,50,,usdc,1711912889394,1711912889394
01HTAZ7R03ASK54TSMPZMGCYFD,,2,50,,usdc,1711912771587,1711912771587
01HT8234ZH6RJE1YW7W4G64D44,,5,50,,usdc,1711815103472,1711815103472
