Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,2,30,01FQ0P6Z9ZFM7A7AB22358MTDY,01HRMGRDDMHY2GKHV0JCKNABY8,1712677644538,1710085677800
Sell,1,41.49,01FQ0P6Z9ZFM7A7AB22358MTDY,01HRMW8JACMFVJS25BYYGZV2N5,1712689705864,1710097746371
Sell,15,41.5,01FQ0P6Z9ZFM7A7AB22358MTDY,01HRMN96V6R6F29QG2Y5J12XQ8,1712682384298,1710090420948
Sell,1,43.98,01FQ0P6Z9ZFM7A7AB22358MTDY,01HQGWEXE374GA4CF6BBX7JM4F,1711478308754,1708889988603
Sell,2,47.57,01FQ0P6Z9ZFM7A7AB22358MTDY,01HQXF29ZY19WHBVD0T0C3BRAD,1711900374647,1709312151342
Sell,301,49.28,01FQ0P6Z9ZFM7A7AB22358MTDY,01HRAVD5NX9D43JFYVCC1NB32C,1712349666805,1709761297491
