Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,5,20,01FKSCK3GDAFCF0HVMRAGGG8MN,01HRATVQ90378A19CDK1JFPRAG,1712349097417,1709760726306
Sell,14,41.98,01FKSCK3GDAFCF0HVMRAGGG8MN,01HTBEFT66RZWQVRKMPQQD6JKD,1714520754461,1711928790504
Sell,11,41.99,01FKSCK3GDAFCF0HVMRAGGG8MN,01HT8MDNCAYZ6T7E83JAT5WJZN,1714426314372,1711834349572
Sell,1,43.5,01FKSCK3GDAFCF0HVMRAGGG8MN,01HS15R8JSB2VKJK0B7WX2MZF3,1713098705583,1710510343946
Sell,1,44.98,01FKSCK3GDAFCF0HVMRAGGG8MN,01HRMTRP80H8ZGHK5BDDAAHYN7,1712688140751,1710096170777
Sell,2,46,01FKSCK3GDAFCF0HVMRAGGG8MN,01HTFY70HP0AJ1PHKJR9P6JZDH,1714671458956,1712079498971
Sell,14,47,01FKSCK3GDAFCF0HVMRAGGG8MN,01HS37Q7C0NRZ82GWBQPJX74HV,1713171467977,1710579517697
