ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRA7GYNGGR8V0XCSP880B5RX,,6,47,,usdc,1709740423856,1709740423856
01HR7HPSY7MHVHJVN7YHZYDB41,,1,50,,usdc,1709650438087,1709650438087
01HR4P43SYW9PKA3NDPFMM5E9K,,1,50,,usdc,1709554405182,1709554405182
01HQY71STRATA0GAQC359FBEA3,,4,47,,usdc,1709337274200,1709337274200
01HQTBCKHGF987CRM12HEHFMMM,,2,48,,usdc,1709207604784,1709207604784
01HQS52WS598NN933R7J4RHX3P,,2,48,,usdc,1709167440677,1709167440677
01HQS3S3WXF711TY9MACK8CGQX,,5,48,,usdc,1709166071709,1709166071709
01HQR7P13DEXQ43DAJ7KXJ192A,,3,48,,usdc,1709136610412,1709136610412
01HQ9ZDSBMVDN6NG013KYG8C0P,,1,50,,usdc,1708658189684,1708658189684
01HQ7M74AHXPH9N9M4GH5GS3GV,,1,50,,usdc,1708579328337,1708579328337
