Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,5,25,01F9YN2XC891JSZ1S7M63MBNVX,01HS1ASGSWZ34XDGYS95HF3S9R,1713107601412,1710515628244
Sell,9,40,01F9YN2XC891JSZ1S7M63MBNVX,01HT838Y3YW9PMZ5W4J8A2B51R,1714408234655,1711816370006
Sell,11,43,01F9YN2XC891JSZ1S7M63MBNVX,01HSE7R63YW5FQ0325VY7RMNWC,1713540606993,1710948651450
Sell,262,44.2,01F9YN2XC891JSZ1S7M63MBNVX,01HS76V0PW4N48389SRM5RW3JQ,1713304770933,1710712809398
Sell,82,49.38,01F9YN2XC891JSZ1S7M63MBNVX,01HS1ATPQ614H0ZP0CT3K6Y8FP,1713107637664,1710515668114
Sell,1,49.39,01F9YN2XC891JSZ1S7M63MBNVX,01HRMRQC17QVB0PFDEVNV29MR5,1712685993682,1710094032245
Sell,2,54.76,01F9YN2XC891JSZ1S7M63MBNVX,01HT941961E4HA96FR9WJ5HDN0,1714442686561,1711850720239
Sell,6,59.04,01F9YN2XC891JSZ1S7M63MBNVX,01HSGYA9JAWM2Y7WR0CWW1BSYP,1713631382642,1711039418394
Sell,1,67.09,01F9YN2XC891JSZ1S7M63MBNVX,01HSKBMSH9JNQKVBCMR3CKS24V,1713712455909,1711120502289
