Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,6,15,01FH96CJNWDCTGV6Y8PS4MZFSH,01HRQ7XYS6SCAYZG8AD46C15AZ,1712769055582,1710177085953
Sell,4,32.5,01FH96CJNWDCTGV6Y8PS4MZFSH,01HT001FAXK6KK6N2KKV2M7GQR,1714132997205,1711544544205
Sell,1,32.99,01FH96CJNWDCTGV6Y8PS4MZFSH,01HRMSW9G8DN2E43DBM3ZEKS9S,1712687209971,1710095240146
Sell,6,33,01FH96CJNWDCTGV6Y8PS4MZFSH,01HRJW5KGZKG2F6HDXAVSN9G1K,1712618890472,1710030533272
Sell,14,42,01FH96CJNWDCTGV6Y8PS4MZFSH,01HRCPK8QP5VXWZ2XBBY7VTWNN,1712411728516,1709823363873
Sell,20,51.29,01FH96CJNWDCTGV6Y8PS4MZFSH,01HRAVQZ7FF5BDVN6S1PPVB96V,1712350020437,1709761651077
