ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRMN636D25PZ1PDZ77NKX6JM,sell,1,36.67,36675723,USDC,1710090283000,1710090292430
01HQYTBMX018VY1PX5Y1YMP7WZ,sell,2,36.9,73809057,USDC,1709357505000,1709357519777
01HQVCAMZQSNZZ1R0VSPQT15J9,buy,2,38.695,77393113,USDC,1709242134000,1709242143736
01HQV0XVHFC5M22WX3WSPG9NN0,buy,1,38.6,38602341,USDC,1709230180000,1709230190127
01HQ3K75K4SR9ATGQANQMBCAZF,sell,2,38.65,77303696,USDC,1708444053000,1708444063333
01HQ3HR99C74EJMSD48FR1H49M,sell,10,38.937,389372944,USDC,1708442517000,1708442527021
01HPRGW72MZ4GHAXXSD21K9GPN,sell,6,39.42,236523343,USDC,1708072498000,1708072508500
01HPB2JADG7FZ4JERZQXXXGR3T,buy,4,41.555,166229177,USDC,1707621284000,1707621296561
