ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT6WAXN8GMK89F58X57WKWHP,buy,1,28.91,28918173,USDC,1711775502000,1711775512232
01HSJYN9X9C7R2MDN9GW3H4A10,sell,10,27.454,274548350,USDC,1711106851000,1711106860969
01HSGPKFXW8DG9VZRNS2KX430A,buy,10,28.898000000000003,288989801,USDC,1711031294000,1711031304124
01HSFCYP3F8KR1HDSPCV2YJ0RW,sell,6,26.863333333333333,161181791,USDC,1710987616000,1710987630704
01HS9FNF13441CB93ST78MCVXQ,buy,4,28.705,114822287,USDC,1710789133000,1710789147683
01HS6P9SQYP8WSNY52NTJ978SM,buy,1,27.83,27830579,USDC,1710695432000,1710695442175
01HS1XR4Z3CESWEAQV91B5JXA7,buy,10,31.637,316376974,USDC,1710535466000,1710535480291
01HS1KBWZDQJ8ZFEBV8F3AM289,sell,20,31.214499999999997,624290391,USDC,1710524583000,1710524593134
01HS1K93BNR4DDS8T7EWNAC9HF,sell,1,33.69,33698373,USDC,1710524491000,1710524501365
01HS1K0TCSX7EPDSDCYS1B1790,buy,15,33.748000000000005,506222674,USDC,1710524216000,1710524230041
