ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTHTH0S8FAP60PD3VJ4JAZ33,,1,50,,usdc,1712142713640,1712142713640
01HTFSXWSSEWDZHGZBXWCG2Z5F,,1,50,,usdc,1712074978105,1712074978105
01HTF9MVX1S1PFCRJ852VYTGV2,,1,50,,usdc,1712057905057,1712057905057
01HTEH0F418BZ04CM0Y6T38MB9,,1,50,,usdc,1712032070785,1712032070785
01HTEGQ502WXQMGA91G3XR1ZGT,,2,50,,usdc,1712031765505,1712031765505
01HTCWW7002S82BFEVMD7D8K3Y,,1,50,,usdc,1711977405440,1711977405440
01HTCNS1VBT86T1EPR9K60BET3,,4,50,,usdc,1711969961834,1711969961834
01HTBV7XS4849NWBBVMV2RGS1A,,2,50,,usdc,1711942137636,1711942137636
01HT82647BG2XFHMYCNGH18507,,5,50,,usdc,1711815201003,1711815201003
01HT29DBYG49PWCXNBCT5VR6C0,,5,50,,usdc,1711621451727,1711621451727
