Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,1,15,01FG4NWXGEN87QTSA1RR3QWZKZ,01HT8S31HYR394T22294HH40FM,1714431213952,1711839244481
Buy,5,12.11,01FG4NWXGEN87QTSA1RR3QWZKZ,01HTGMVWZM0HEF34TEYXJQX3JW,1714695223999,1712103251234
Buy,1,12,01FG4NWXGEN87QTSA1RR3QWZKZ,01HSP57CNMV7NY019Y0JMSK1EC,1713806405383,1711214434092
Sell,5,24.97,01FG4NWXGEN87QTSA1RR3QWZKZ,01HTGMXT06QRQ4XSE43C0TNWMV,1714695259765,1712103314868
Sell,1,24.98,01FG4NWXGEN87QTSA1RR3QWZKZ,01HTG42H48HA40G6CNBN05PD58,1714677595623,1712085648546
Sell,3,25,01FG4NWXGEN87QTSA1RR3QWZKZ,01HRF3PHXHPMW2S9KE1H67VB11,1712492562347,1709904213053
Sell,10,30,01FG4NWXGEN87QTSA1RR3QWZKZ,01HRJW2GBCK0W512JCWGRZB1NA,1712618789809,1710030431998
Sell,1,38.69,01FG4NWXGEN87QTSA1RR3QWZKZ,01HRMSD8QK8RZ1X7H6TGEH6KP9,1712686717900,1710094748176
Sell,9,40.93,01FG4NWXGEN87QTSA1RR3QWZKZ,01HSM3HFBYGWVRTZ80WAN1WESF,1713737507297,1711145559964
Sell,1,57.31,01FG4NWXGEN87QTSA1RR3QWZKZ,01HS530591FTRC2ZBWDVNC16XR,1713233636417,1710641676014
