Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,3,25,01FK4QMB4DJP66KNJDBFAKBZSP,01HRJ84KFE2SX3FJ9MEN7E8B2W,1712597900106,1710009530474
Buy,10,20,01FK4QMB4DJP66KNJDBFAKBZSP,01HR52TDXWMY9PN20M11DM0Q9A,1712156118788,1709567746947
Sell,1,28,01FK4QMB4DJP66KNJDBFAKBZSP,01HRN7Q7S140A8QY6TCB81ZCNV,1712701715963,1710109754932
Sell,1,29.99,01FK4QMB4DJP66KNJDBFAKBZSP,01HRMTK3VK980RBZMR0ZNKVTXE,1712687958640,1710095988635
Sell,4,30,01FK4QMB4DJP66KNJDBFAKBZSP,01HRG3FR9AWDTWJMGFYETE1VSM,1712525905632,1709937542766
Sell,4,41,01FK4QMB4DJP66KNJDBFAKBZSP,01HRDZZ1DFM3PCG9KAG7PSDPME,1712455100360,1709866740787
Sell,2,42,01FK4QMB4DJP66KNJDBFAKBZSP,01HRDFBHYPRWZ8QDDV62RRHTAY,1712437686161,1709849325713
Sell,133,47.26,01FK4QMB4DJP66KNJDBFAKBZSP,01HPT9P3X6VNYW8WMZBBVYRVS5,1710720460064,1708132104972
Sell,23,52,01FK4QMB4DJP66KNJDBFAKBZSP,01HPG8V942V91CEYMF3WMF4E38,1710384041837,1707795680891
Sell,1,52.82,01FK4QMB4DJP66KNJDBFAKBZSP,01HQMC98Y2SA63T1RDDNJ9GY41,1711595607688,1709007244929
