Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,30.01,01FHE85W8EPCGPRDJAJMAFPSSP,01HTB6WW3DS9GZB3A7CYKYEYNZ,1714512803531,1711920830618
Buy,10,30,01FHE85W8EPCGPRDJAJMAFPSSP,01HT3BB0RXJ4AXRB9YVN96J6BM,1714249025797,1711657054464
Buy,2,26,01FHE85W8EPCGPRDJAJMAFPSSP,01HT40A6J6HFVJ4VKSMT3AXCHW,1714271014476,1711679056360
Sell,11,43,01FHE85W8EPCGPRDJAJMAFPSSP,01HT4074KV5E0JXHB5606FN7J3,1714270901932,1711678946609
Sell,1,44,01FHE85W8EPCGPRDJAJMAFPSSP,01HSXR29Q4MKZP3VX959DY9JMR,1714061038449,1711469071822
Sell,5,44.99,01FHE85W8EPCGPRDJAJMAFPSSP,01HSC6AA167ZADMYTRJJRZ1XKT,1713472005167,1710880036000
Sell,51,45,01FHE85W8EPCGPRDJAJMAFPSSP,01HS9W6NC4HQAKG4MMCYRGYY0Z,1713394282737,1710802321109
Sell,36,47.32,01FHE85W8EPCGPRDJAJMAFPSSP,01HS77EZ6HYQBQFN34DA50CTXN,1713305428483,1710713463711
Sell,1,51.49,01FHE85W8EPCGPRDJAJMAFPSSP,01HRMSV0JSZYNJ28BPQKP25KJG,1712686713165,1710095197238
Sell,1,52,01FHE85W8EPCGPRDJAJMAFPSSP,01HRDMZRTSE22XEV5YJFJQQ278,1712443593723,1709855230851
Sell,6,52.87,01FHE85W8EPCGPRDJAJMAFPSSP,01HR8EP2VN5W3NHS4AGR8ZMT7E,1712269215597,1709680850770
