Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,5,20,01FPBC7MM6Y8FQJEBGYDN4ZQCN,01HS9178RPV9Q2ZEAP6J246VMB,1713366002070,1710774028444
Sell,10,37,01FPBC7MM6Y8FQJEBGYDN4ZQCN,01HSXS7D57VG4MVJGS74AKPQT0,1714062251733,1711470287886
Sell,3,37.5,01FPBC7MM6Y8FQJEBGYDN4ZQCN,01HRX57ZFHB2DEKE93JPSEY3JZ,1712967545597,1710375592931
Sell,1,39.99,01FPBC7MM6Y8FQJEBGYDN4ZQCN,01HRMVEHYW5ESZ1AK8AZQ3DJD7,1712688857484,1710096886828
Sell,201,45,01FPBC7MM6Y8FQJEBGYDN4ZQCN,01HRTM0EGDTN9T1NGT1XDXKE0Q,1712882371875,1710290412064
