Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,1,29,01FNMVMNP4MVG9V6MXM51SPFTP,01HRK66KBV5SHV57VSF2G4FKHM,1712629413712,1710041027141
Buy,2,28,01FNMVMNP4MVG9V6MXM51SPFTP,01HRJJ1ZXEB1SMBJJQT8ET4GWB,1712608301780,1710019934521
Buy,1,27,01FNMVMNP4MVG9V6MXM51SPFTP,01HR00321C1VBJBNJ3VCV2SZ11,1711985480132,1709397085552
Buy,3,26,01FNMVMNP4MVG9V6MXM51SPFTP,01HRAFPV89C18ESTY1C6GCV7YS,1712337403829,1709749031454
Buy,11,25,01FNMVMNP4MVG9V6MXM51SPFTP,01HPV2PN02NP5Y9B76D7N180X8,1710746705126,1708158311629
Buy,25,20,01FNMVMNP4MVG9V6MXM51SPFTP,01HQ5TB2ZFRV2XYM5MZDJM5JXR,1711107032408,1708518641292
Buy,10,19,01FNMVMNP4MVG9V6MXM51SPFTP,01HPFYSM072VH160CR7GRD349H,1710373506577,1707785114775
Sell,202,33,01FNMVMNP4MVG9V6MXM51SPFTP,01HRNAV5S04PAW8Y2W9YE8G4N0,1712704986957,1710113029894
Sell,1,33.99,01FNMVMNP4MVG9V6MXM51SPFTP,01HRMVBHQ9Q0VC3YHZHPQX2QMH,1712688759532,1710096788364
Sell,2,34,01FNMVMNP4MVG9V6MXM51SPFTP,01HRM4PW3DAESR8TQCFVMZ3C1V,1712664973564,1710073044255
Sell,5,35,01FNMVMNP4MVG9V6MXM51SPFTP,01HRG8484D702E8VRPZ8RWF0YR,1712530733589,1709942409086
Sell,5,37.5,01FNMVMNP4MVG9V6MXM51SPFTP,01HRG86Y268E09CEDR5HKG4WWP,1712530861247,1709942498529
Sell,5,40,01FNMVMNP4MVG9V6MXM51SPFTP,01HRG898WB4TCMY1T5Y5T92VF9,1712530934990,1709942576417
Sell,20,44,01FNMVMNP4MVG9V6MXM51SPFTP,01HRG0223SDGW5Q2EMK23MPJS0,1712529508164,1709933948804
Sell,2412,44.99,01FNMVMNP4MVG9V6MXM51SPFTP,01HRAW0DPNMB2NGB2BTPTQ0WZN,1712350297818,1709761930223
Sell,115,45,01FNMVMNP4MVG9V6MXM51SPFTP,01HPG922NQ3ER9QM383BKVSRD1,1710384253777,1707795902504
Sell,1,45.69,01FNMVMNP4MVG9V6MXM51SPFTP,01HQGHDK7MWFJAY401E5NVXRNW,1711466760046,1708878411975
Sell,20,46.26,01FNMVMNP4MVG9V6MXM51SPFTP,01HR8ETE5FA5E35PF1NFH0FJ27,1712269360458,1709680993604
Sell,107,47.69,01FNMVMNP4MVG9V6MXM51SPFTP,01HPWZZDC2A8BQCFVXVCV4Y9MZ,1710810949746,1708222586540
Sell,50,48.16,01FNMVMNP4MVG9V6MXM51SPFTP,01HPFA2JQ80V4TAVY36T93QVKD,1710355368176,1707763413072
