Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,25,01FN4YH4XH19G1T0QMSWYD1QAB,01HQ8X6BZCNHAYX6B1CWM9JRYS,1711210692696,1708622321294
Sell,1,40.98,01FN4YH4XH19G1T0QMSWYD1QAB,01HRMV7RVZ6JNDVVJV74EN4NBH,1712688627757,1710096666599
Sell,24,40.99,01FN4YH4XH19G1T0QMSWYD1QAB,01HRMP42K3NZD9NR42FK44SWCG,1712683268015,1710091300562
Sell,1,43,01FN4YH4XH19G1T0QMSWYD1QAB,01HPHR4MJ0JWG68AQCG0ECG63R,1710433635768,1707845271461
Sell,7,53.19,01FN4YH4XH19G1T0QMSWYD1QAB,01HQMC5JHKMQR33TFMV0M2F0V7,1711595481546,1709007123783
