ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTBV0P2APMT6N61GFZEKW3JB,buy,1,48.05,48056952,USDC,1711941886000,1711941900363
01HT998NGTBCM3N7YYAEVC6MBT,buy,1,47.96,47964455,USDC,1711856166000,1711856178714
01HT6B9FG7FGDDRZ9G8V5M4X3W,buy,1,47.87,47870630,USDC,1711757626000,1711757639175
01HSSRQZ5ZRJ4P774XK3ZPG87X,,1,50,,usdc,1711335537855,1711335537855
01HSRW6BNSE5ZQ6784FRGNM9W4,buy,10,48.154,481549164,USDC,1711305586000,1711305600698
01HSK76H6FE72A3KCYWY28Y38M,buy,1,47.75,47757685,USDC,1711115803000,1711115814095
01HSH28Y1NMS50RDA61S6NGKFD,buy,10,47.331,473311893,USDC,1711043531000,1711043541045
01HSGF2G946XBFBDZNX9A0R7F2,buy,1,46.88,46884928,USDC,1711023392000,1711023407397
01HS4AE58M177RC0RTVEZRN2DF,sell,1,44.91,44916676,USDC,1710615883000,1710615893268
01HS203PYNQW9Z0YQRRCRPZSF2,buy,1,47.28,47280734,USDC,1710537946000,1710537956309
