Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,1,25,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HT5P09Z6KKE2PH89B4JRZMEP,1714327311016,1711735319703
Buy,10,20,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HT39AR0KYKS1DYPX8YKP810V,1714246917667,1711654949612
Sell,1,44,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HSXQNKZ03WYC5RABCB8J9GPX,1714060615388,1711468658759
Sell,17,44.99,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HT8KC8ZFVGRAADV6QXGE9K8D,1714425225731,1711833255333
Sell,12,45,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HSXQHJ378ZEWKF9DW67Q4SXS,1714060471304,1711468524389
Sell,21,47,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HSTYY2ENVEXH1M53NVAHZWAK,1713967573131,1711375612049
Sell,15,47.5,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HSTJD3D51VD88TF342CBPDPJ,1713950819257,1711362477093
Sell,2,48,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HSPRZVRYEXM9P0K8ATF185T0,1713827114191,1711235159995
Sell,1,48.99,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HRMSM12J32905RD5C2YNN3ZX,1712686938996,1710094970987
Sell,10,49,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HR6QHNQK8QEZ388C29EFC931,1712211401407,1709623033491
Sell,44,51,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HTEBXH04NDX5Q0YK6NMN3ZHF,1714618714552,1712026759294
Sell,10,52,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HRXCC70SE85XM3AEM0BG12XP,1712975025019,1710383072441
Sell,7,53.32,01FGVZAJ6DK5SJM3W4ECFGCZFY,01HT685WN56480WRV63WPZ4G89,1714346368396,1711754403779
