ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HRNQYXFNXA9G6XZG001SKRV1,,4,24,,usdc,1710126757365,1710126757365
01HRDQ7V3EV7J33KFRF6224P77,,4,23,,usdc,1709857565806,1709857565806
01HRD8YTY865F1T6WSA7Z75VT1,,10,23,,usdc,1709842590664,1709842590664
01HQNY2EE2JX2P1MY4JRK0ZJ19,,2,25,,usdc,1709059422657,1709059422657
01HQ9D87Q1W1GW1KPP7A0AXEPE,,2,25,,usdc,1708639133408,1708639133408
01HPSFA05P6AYB54V1T9AZAXB7,,1,46.4,,usdc,1708104417462,1708104417462
01HPMD5KE7W29QP5ZK84JYNFMT,,1,46.4,,usdc,1707934404039,1707934404039
01HPFM00G3NRT6EK39J83WH38J,,2,25,,usdc,1707773788675,1707773788675
