ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT3BCF9KPZRWK7EPF5QVCR0R,,57,30,,usdc,1711657073970,1711657073970
01HT3BBP423266FNQWSVXFXK3R,,10,30,,usdc,1711657048194,1711657048194
01HT31BP0ZEEXC5JSRRHS4VVJF,,1,30,,usdc,1711646562335,1711646562335
01HT30S3TC5PNT24YTMYGXAZ17,,5,30,,usdc,1711645953868,1711645953868
01HT303DF6XYY6GZ14D0MB0758,,1,30,,usdc,1711645242854,1711645242854
01HT2ZJFQ02W4PRKS4NTDT7W73,,5,30,,usdc,1711644688096,1711644688096
01HT2ZJAE412VKEJ7YV6RWD9ZG,,1,30,,usdc,1711644682692,1711644682692
01HSGKB7C29YCT8WTPMWWQMDSD,,4,44.99,,usdc,1711027887490,1711027887490
01HRWDGBEN82V9A6MQYN3485XZ,,1,44,,usdc,1710350675413,1710350675413
01HRTVZPR0DBE1MFN48SA54PV7,,1,44,,usdc,1710298749696,1710298749696
