Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,2,26,01FJG0QAVSKK1MQWZ28XXVXSPB,01HRGK536XK0WX1A28ZB36G6A9,1712542340362,1709953972036
Buy,10,25,01FJG0QAVSKK1MQWZ28XXVXSPB,01HQEG3EP1VAV78N4R8A628XZN,1711398292190,1708809921550
Sell,1,29.99,01FJG0QAVSKK1MQWZ28XXVXSPB,01HRMTJ1XDJE8J2RPDW0Y9X1X6,1712687919625,1710095953850
Sell,1,30,01FJG0QAVSKK1MQWZ28XXVXSPB,01HRA6817XQ110XDMM025QVRHC,1712331068795,1709739111291
Sell,20,34,01FJG0QAVSKK1MQWZ28XXVXSPB,01HQQFBKR8TF4EVTRD8AFC1D1Y,1711699484120,1709111130034
Sell,10,48.02,01FJG0QAVSKK1MQWZ28XXVXSPB,01HQ3T0NQYF1RGRJH7F2E6JD5D,1711039582642,1708451216902
Sell,6,51.87,01FJG0QAVSKK1MQWZ28XXVXSPB,01HQMCA61P4D43MSZV5WDT0PD5,1711595632348,1709007273676
