Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,7,20,01G0T3MEVDY5D3T5J319CZ343N,01HQ7JJ24NGK727J1N19DQK42E,1711165976865,1708577615237
Sell,1,39.49,01G0T3MEVDY5D3T5J319CZ343N,01HRMWRNHN4CCG9052S1E92N1P,1712690238260,1710098267228
Sell,10,39.5,01G0T3MEVDY5D3T5J319CZ343N,01HR5MT7ZKMG4Y5MCP56NNHFRJ,1712174972645,1709586613529
Sell,20,40,01G0T3MEVDY5D3T5J319CZ343N,01HQVEFR7GMV52A4F7KYBATQCV,1711836392882,1709244436084
Sell,1,49.99,01G0T3MEVDY5D3T5J319CZ343N,01HQGVS1QZ3CHGW6BVQVDKK4NS,1711477618274,1708889273358
Sell,12,51.84,01G0T3MEVDY5D3T5J319CZ343N,01HQ6RNKZH6RFG5C0V9QAK1XNR,1711138824659,1708550470936
