Order Type,Quantity,Price,Property Link,Order ID,Expire At,Created At
Sell,284,48.66,https://lofty.ai/property_deal/01FKPEZVFSD6KDYN5DY5Y7Z2AE,01HRTGYFCMHQY8AYG6AMD10EW1,1712879141955,1710287205233
Sell,34,48.49,https://lofty.ai/property_deal/01G4XPM2EVX59KGVACEC12K7V7,01HRM6JZ792VRS2QMTVNQX9KYQ,1712666958712,1710075013173
Sell,4,48.43,https://lofty.ai/property_deal/01GKA8SK6FAGDMXGF5N5VKP2J8,01HT00MGDEGT7FP6Z3AFR9N19B,1714137130636,1711545167421
Sell,1,48.23,https://lofty.ai/property_deal/01GKA8SK6FAGDMXGF5N5VKP2J8,01HFB9VBX4N03YES2KMHC96JMK,1987824724745,1700112770834
Sell,70,48.0,https://lofty.ai/property_deal/01G5T8PFTDN92RNHJT914G29QT,01HRR72TV5P2PGW1AFKQME425Q,1712801691949,1710209750297
Sell,2,48.0,https://lofty.ai/property_deal/01G4XPM2EVX59KGVACEC12K7V7,01HSPS388SAYJSERCCQXB3AJ03,1713827224131,1711235272620
Sell,20,47.73,https://lofty.ai/property_deal/01FKVM5P0WS9JPMCDZ1GB1RQQG,01HS4RFQ3SEMA5TMX4RET4CSFW,1713222615566,1710630650832
Sell,20,47.66,https://lofty.ai/property_deal/01FKPEZVFSD6KDYN5DY5Y7Z2AE,01HRTFRN5QAC5194QF97P08PBG,1712877900710,1710285961104
Sell,200,47.23,https://lofty.ai/property_deal/01GKA8SK6FAGDMXGF5N5VKP2J8,01HRG3NB9EMFTTSHGFQWNMQ9DG,1712526079147,1709937727050
Sell,1,47.08,https://lofty.ai/property_deal/01G0364A8VB2BH861CN84JR5KJ,01HT950Z0XX4X5JGCF9VDEH3W8,1714443725080,1711851758861
Sell,32,46.98,https://lofty.ai/property_deal/01G5JB6RMFRA00N0076YRHNHWP,01HRG36VMF33VRE7JDGHYRZ0NN,1712525610152,1709937252035
Sell,10,46.95,https://lofty.ai/property_deal/01FKER0A73QJBYP4JQHW10KYBH,01HS4R7TDRSDT5EYNS346Y9VV7,1713222343511,1710630393604
Sell,50,46.0,https://lofty.ai/property_deal/01FGS6HM0KWR822QJ20DF98ZQA,01HR5E2H5Z1BVQ6TD7G5SA9YJP,1712167913216,1709579547031
Sell,100,46.0,https://lofty.ai/property_deal/01H93J1F8NAKD6J8E46BPD3JX3,01HRZ7SVJH1PPEHC2E08DBDC22,1713037338630,1710445387482
Sell,144,45.7,https://lofty.ai/property_deal/01FJZ4S4KD7CJVZB8BRVYVCAZD,01HS77PBB8HJGTNFHH0M9Z5QVH,1713305661049,1710713707079
Sell,10,45.69,https://lofty.ai/property_deal/01FKKH0XY0RTNV2B74JVAEQJXX,01HS4RD1H7D3ZHFH16M088CPA6,1713222527906,1710630565033
Sell,69,45.69,https://lofty.ai/property_deal/01FJZ4S4KD7CJVZB8BRVYVCAZD,01HS9DPR6Z304J00VR4713KCRR,1713379079748,1710787118874
Sell,2,45.22,https://lofty.ai/property_deal/01FBJD5D0H729QC0DZK67RSA3J,01HTG4B55CASW5JTGX3PRTV5V6,1714677883310,1712085929954
Sell,1,45.0,https://lofty.ai/property_deal/01G5JB6RMFRA00N0076YRHNHWP,01HRC455XJEEMBP74TXDXYE2TC,1712392378210,1709804029576
Sell,200,45.0,https://lofty.ai/property_deal/01FNSMTASFCP7DTAJENQ0HMAME,01HRTKWMMRH0CH4RTMQ0174Z7V,1712882216938,1710290288068
Sell,2,43.0,https://lofty.ai/property_deal/01FJZ4S4KD7CJVZB8BRVYVCAZD,01HSS4DQYTY8MWJFJ7BM271C3A,1713906214219,1711314258553
Sell,246,42.71,https://lofty.ai/property_deal/01FKKH0XY0RTNV2B74JVAEQJXX,01HS77X37FZVVS45JX1TX8ZNA6,1713305892743,1710713926399
Sell,151,42.5,https://lofty.ai/property_deal/01FKVM5P0WS9JPMCDZ1GB1RQQG,01HS782P7GRR8000EVRB31F5WA,1713306074892,1710714111465
Sell,23,42.0,https://lofty.ai/property_deal/01FBSM84CT3RNTW13722P5FM5G,01HRG5CSB9K9NGK20A94Z5JYNS,1712527895798,1709939543676
Sell,99,41.23,https://lofty.ai/property_deal/01FBSM84CT3RNTW13722P5FM5G,01HS775XJ0AZSB9487P12ERZMH,1713305129937,1710713167728
Sell,8,40.0,https://lofty.ai/property_deal/01FJZ4S4KD7CJVZB8BRVYVCAZD,01HSXRB6K8NARQHKV1B9N87YPQ,1714061318115,1711469363057
Sell,20,40.0,https://lofty.ai/property_deal/01FNSMTASFCP7DTAJENQ0HMAME,01HSXS4A3G3115655KED242E48,1714062145170,1711470185662
Sell,2,39.0,https://lofty.ai/property_deal/01G0364A8VB2BH861CN84JR5KJ,01HT3QG4HSKBZ623TBTBMTZH58,1714261751143,1711669805394
Sell,4,38.9,https://lofty.ai/property_deal/01G5JB6RMFRA00N0076YRHNHWP,01HSJ6PWT8JFZ22N410QSQN6DH,1713673729149,1711081774773
Sell,1,35.73,https://lofty.ai/property_deal/01FKVM5P0WS9JPMCDZ1GB1RQQG,01HRCSW574QT4EQ3NQSCA7VTNC,1712415159871,1709826806694
Sell,9,35.0,https://lofty.ai/property_deal/01FKPEZVFSD6KDYN5DY5Y7Z2AE,01HT03D7SV8SSBS1HQTB1H6A2M,1714140042364,1711548072620
Sell,50,32.5,https://lofty.ai/property_deal/01FN0KMRMBY5FYT24A8935ZZXM,01HSPMF25ZKJ7QZCSH6KTJE4T5,1713822364002,1711230416449
Sell,2,30.0,https://lofty.ai/property_deal/01GKA8SK6FAGDMXGF5N5VKP2J8,01HTG8BH9JKJ8MK3MPJ0MX48H5,1714682086347,1712090133144
Sell,15,30.0,https://lofty.ai/property_deal/01FKVM5P0WS9JPMCDZ1GB1RQQG,01HSXRG166BHRDPKB9SMMJS70V,1714061440672,1711469523193
Buy,4,60.0,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HT82812STRHT01BM9H6SEWN2,1714407259523,1711815288350
