ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT8932JF5J905K7Z4J4H89ZA,buy,2,27.55,55100530,USDC,1711822430000,1711822441040
01HT7W809Q9PGST4AESZEZETAF,buy,5,27.3,136500055,USDC,1711808957000,1711808971063
01HT752DTGTMYTBSMDMGY8SK6E,buy,20,26.406,528127552,USDC,1711784657000,1711784671056
01HT72ADHWPBB3GCCD2AN6AAA1,buy,5,25.514,127571533,USDC,1711781774000,1711781787197
01HT70V2XJ3FA3EBB418VW659W,buy,15,24.804,372068612,USDC,1711780222000,1711780236211
01HT6Z7QR2511GBSX0Y0F2TQTB,buy,2,24.2,48408143,USDC,1711778543000,1711778553603
01HT6Z0GHV2R5ZK9K43PS5Y7KB,buy,8,23.8525,190825174,USDC,1711778307000,1711778316860
01HT6XNVWG30KT50HCCTT3QHQ7,buy,10,23.225,232255241,USDC,1711776910000,1711776919441
01HT6X5P17J53FH68R5RBYE1W4,buy,5,22.706,113534136,USDC,1711776375000,1711776389159
01HT6WDET0YESYN4QKVR0J7ECY,buy,10,22.193,221935220,USDC,1711775586000,1711775595328
