Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,5,25,01FDTMH0KXNHE870B7T8KMW7V9,01HRG6WHPEGS1C1BBAGEDP83YQ,1712529479517,1709941109856
Sell,1,36,01FDTMH0KXNHE870B7T8KMW7V9,01HSWKK72PHY44CWRYA05GRS76,1714022782747,1711430827976
Sell,1,44.99,01FDTMH0KXNHE870B7T8KMW7V9,01HRMS07DXX259FCSHF0VEJNB4,1712686271345,1710094320653
Sell,51,49.99,01FDTMH0KXNHE870B7T8KMW7V9,01HRAVA2YXZA08DH1CW97CENW6,1712349566467,1709761196477
Sell,1,57.86,01FDTMH0KXNHE870B7T8KMW7V9,01HRN2P572YFKSJQ0RCYG6HKYD,1712696441954,1710104476075
Sell,3,58.71,01FDTMH0KXNHE870B7T8KMW7V9,01HSKBV6WFRP88Q065B081MDX5,1713712676097,1711120713017
