ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTESK0HM5T99S23CSCFV8N59,sell,50,27.5958,1379795895,USDC,1712041053000,1712041067061
01HT900MP5S62NSYH3WST2AFM5,buy,2,22.185,44379235,USDC,1711846469000,1711846478533
01HT8TPVSDPVHJG2Q30KHGY28A,buy,5,21.5,107509932,USDC,1711840901000,1711840915245
01HT6YWH2DFHAAT00DNF6TEGQK,sell,10,20.894,208949188,USDC,1711778177000,1711778186318
01HT6WC5T35XJ2FCDPGWD119G1,sell,10,22.818,228182315,USDC,1711775540000,1711775553347
01HT5JVD6TNFRSC1F012WD50T4,sell,10,24.819,248197142,USDC,1711732002000,1711732012250
01HT2SS3T8NEACGV2ZRKJ24JYN,sell,2,23.705,47415168,USDC,1711638604000,1711638613832
01HT1BRAPEA770EBZ9TQEB25QT,buy,10,22.585,225858865,USDC,1711590342000,1711590353614
01HT0GQW7KTV46S7J5SDTSPK0Z,buy,3,20.723333333333333,62172817,USDC,1711562017000,1711562027251
01HT0EPVFDDJ18CZ9R6SB0NENY,buy,2,20.2,40401483,USDC,1711559885000,1711559896557
