ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT37XCBTPGGQN80PGFZAQ6XS,,2,40,,usdc,1711653433722,1711653433722
01HSXWZGP7W5X5WCTM395WSP7E,buy,1,40.61,40613142,USDC,1711474187000,1711474197192
01HSXVDFD1SAZAXB47CVA23HAW,sell,4,38.9975,155995798,USDC,1711472545000,1711472557474
01HSWA0HMDCVSRT1W5MAZGYJVB,sell,1,39.68,39683630,USDC,1711420744000,1711420753549
01HSP2YVBC0ZNGQVMWE9KKJ3Q8,sell,5,40.476,202381863,USDC,1711212022000,1711212031340
01HSHEBRA1P2PC4KJ4CN13HV99,sell,2,41.37,82746688,USDC,1711056206000,1711056216386
01HSF06HYW5Q8ZEP03JPF5E6MB,buy,1,43.68,43684432,USDC,1710974247000,1710974257116
01HS9QAEKMCJSTCRTFEPWXMPEE,,1,45.69,,usdc,1710797175412,1710797175412
01HS9DN5SVYSTH50SR52ZTN747,sell,10,42.549,425491028,USDC,1710787027000,1710787041084
01HS6AX25CA1MSD39GF146Q6XM,sell,2,43.905,87818761,USDC,1710683476000,1710683490476
