ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTGXZ4GM6834P7D7V61XE35T,buy,2,50.515,101036600,USDC,1712112753000,1712112767508
01HTGS6D8EVHQPA1H3YKT9WZC2,buy,1,50.48,50485450,USDC,1712107753000,1712107762959
01HTG5W7KGJ6Z0D09T7BDCY6K8,buy,15,50.43733333333333,756563250,USDC,1712087497000,1712087506544
01HTG3FGHTKE3J1FJF0XVEGQQK,buy,1,50.3,50309400,USDC,1712084982000,1712084992570
01HTG37HXG93WXRH9MXX2CNCR9,buy,5,50.138,250690500,USDC,1712084722000,1712084731824
01HTFXVN7W4EPY99NMYVXA9QX8,,2,58,,usdc,1712079099132,1712079099132
01HT4JS4M8VG2WARP3D4PZEXTD,,3,50,,usdc,1711698383496,1711698383496
01HT4JS49FE60KKC2RYBT24RF4,,2,50,,usdc,1711698383150,1711698383150
01HT4JS3YC3R3E1YND0W12ZGDV,,3,50,,usdc,1711698382796,1711698382796
01HT49SAEHTB734WN3AVYKF3VP,,2,50,,usdc,1711688952273,1711688952273
