Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,25,01FG1XQG32PVZG5A5B6JHQDQZE,01HPYKRN3CR4V06Y7G1G9CAEB3,1710865258923,1708276891182
Sell,1,42,01FG1XQG32PVZG5A5B6JHQDQZE,01HRMWTBZH945W57YGV4RD1MYG,1712690282034,1710098324483
Sell,1,48.99,01FG1XQG32PVZG5A5B6JHQDQZE,01HRMSC51N2F60AM0TP06DRSMZ,1712686432080,1710094710610
Sell,20,49,01FG1XQG32PVZG5A5B6JHQDQZE,01HRFZNZ02TFE80JFESJ8EZ0F7,1712529101686,1709933552323
Sell,1,50,01FG1XQG32PVZG5A5B6JHQDQZE,01HQH0SKDB5F6T5YA53G3FMTFS,1711486490664,1708894532778
Sell,3,51,01FG1XQG32PVZG5A5B6JHQDQZE,01HQ4DTSTJ03EHK5XGCCFE7R3T,1711063958445,1708471995412
Sell,9,52.35,01FG1XQG32PVZG5A5B6JHQDQZE,01HQKK4386HW4KMTTKZX4R3CXB,1711569225640,1708980860691
Sell,10,57.05,01FG1XQG32PVZG5A5B6JHQDQZE,01HPJ0KFNC8RH4DH5AFR9J6FVA,1710442511042,1707854147000
