Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Sell,1,38.98,01FKH3TZ7FWKFHZV5YB94HV0YM,01HRMTNWAKRE8CPDCKEJ83DZR0,1712688048223,1710096078290
Sell,1,38.99,01FKH3TZ7FWKFHZV5YB94HV0YM,01HRMPQKRFFMX85K2TFB88FX7D,1712683908357,1710091941657
Sell,20,39,01FKH3TZ7FWKFHZV5YB94HV0YM,01HRFZSKGMEA5QEXAP0SR49R90,1712529226928,1709933673028
Sell,40,39.5,01FKH3TZ7FWKFHZV5YB94HV0YM,01HR5E4PAM93F306HRWYGY5VAE,1712167983635,1709579615966
Sell,1,40,01FKH3TZ7FWKFHZV5YB94HV0YM,01HPBXAZE595DQDNGPEHSB74E0,1710241361695,1707649394679
Sell,10,50.26,01FKH3TZ7FWKFHZV5YB94HV0YM,01HR8ERBEZ3F92R8SQAN86NY9N,1712269292641,1709680925272
