ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HT768H47FBKK36AMHZMD2VEM,sell,20,18.939,378784046,USDC,1711785910000,1711785919624
01HSPAP6TMJET31MBM6QDY6FB0,sell,1,20.69,20692765,USDC,1711220127000,1711220136789
01HSKP2HBYVAJP1AXKHX84R8JC,sell,25,22.729200000000002,568235689,USDC,1711131402000,1711131411838
01HS9XVVVD6YEA3W5BNM4GFDGQ,sell,3,25.333333333333332,76001208,USDC,1710804023000,1710804037486
01HS1HYA4X8VMD1RE3Q8MG88VC,buy,10,26.082,260826130,USDC,1710523085000,1710523099293
01HRZ7NX6RGQMRNP7PPNDBF58P,sell,10,24.778,247784850,USDC,1710445215000,1710445229272
01HRZ6HDEMRHBPJ02RKJB2PDWH,buy,25,24.836799999999997,620922423,USDC,1710444019000,1710444033493
01HRPY4B46PZK44HDZ3TPZQ3SS,sell,2,21.79,43581731,USDC,1710166770000,1710166781063
01HRK85XBWTBJ2GZ786W1WBQZZ,buy,1,23.01,23019190,USDC,1710043087000,1710043100540
01HRHWXRHD4TSWZNYEAJHWF34X,sell,1,21.86,21868220,USDC,1709997735000,1709997744686
