Order Type,Quantity,Price,Property ID,Order ID,Expire At,Created At
Buy,10,20,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HR52S5XTV4ARS0QH8XTF353T,1712156076152,1709567706284
Sell,1,34.99,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HRMV5ADMNGC4KVF8ERV3CZ13,1712688547659,1710096585528
Sell,4,35,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HPMN17Z0GZEFNEZ3VTY2P64Y,1710531035679,1707942678453
Sell,1,38.99,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HPMGY0XPA8ZDARNPJMDS9HAR,1710530327746,1707938377685
Sell,3,49.64,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HQXEYESVZFS5RN7ZMX1AW8CE,1711900227287,1709312026265
Sell,4,52.24,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HR0G2BFZ0D6EEA7BQ659NSGE,1712002230343,1709413865315
Sell,20,52.25,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,01HRFEM6QFHN7ZZQX9HMESDHZ1,1712504015495,1709915668894
