ID,Type,Quantity,Price,Amount Crypto,Payment Currency,Created At,Updated At
01HTEPMFNX815MZD5332T3AV0J,,3,35,,usdc,1712037969597,1712037969597
01HT30PNR7Y719Z5YYGN4Y1V2P,,5,35,,usdc,1711645873927,1711645873927
01HSP3Q0WTHHS43JJ8F496Y24V,,4,46.5,,usdc,1711212823450,1711212823450
01HSH4ZVQ0ZQMPMZ1FW9SMZ3VC,,4,47,,usdc,1711046389472,1711046389472
01HSH4ZR0S5ZAZ6HQ24CGV7G74,,2,45,,usdc,1711046385689,1711046385689
01HSH1MGEBV47PBNSX8QSH4HQM,,8,45,,usdc,1711042871755,1711042871755
01HSH1MBGY9Y260NEXQ2E3G4B3,,1,40,,usdc,1711042866718,1711042866718
01HSGWJY7GBHZ9MG19DRXCYSTK,,5,35,,usdc,1711037577456,1711037577456
01HSGNRRHSASVMP5N5XGQ3VVZ9,,2,34.98,,usdc,1711030428216,1711030428216
01HSGK34M463HJ5BF9CXNVK0AV,,6,34.97,,usdc,1711027622532,1711027622532
